Source,Target,generated
Holford & Co.,Ashbel Smith,788
Holford & Co.,Ashbel Smith,789
Anson Jones,Ashbel Smith,790
Ashbel Smith,Anson Jones,791
Ashbel Smith,Anson Jones,792
William Kennedy,Anson Jones,793
Anson Jones,G. W. Terrell,794
Anson Jones,William Kennedy,795
William Kennedy,Anson Jones,796
John Hall,William Kennedy,797
Ebenezer Allen,William Kennedy,798
G. W. Terrell,Ashbel Smith,799
G. W. Terrell,Wm. Henry Daingerfield,800
G. W. Terrell,Ashbel Smith,801
G. W. Terrell,Ashbel Smith,802
Charles Elliot,Ashbel Smith,803
,,804
,,805
,,806
,,807
,,808
,,809
G. W. Terrell,Wm. Henry Daingerfield,810
G. W. Terrell,Ashbel Smith,811
G. W. Terrell,Lord Clarendon,812
G. W. Terrell,Ashbel Smith,813
Ebenezer Allen,Ashbel Smith,814
Ashbel Smith,Ebenezer Allen,815
,June 3 1845,816
Ebenezer Allen,Ashbel Smith,817
Ebenezer Allen,Charles Elliot,818
Charles Elliot,Ebenezer Allen,819
Lord Aberdeen,Charles Elliot,820
Ebenezer Allen,Charles Elliot,821
J. Pinckney Henderson,R. A. Irion,822
J. Pinckney Henderson,Count Mol,823
J. Pinckney Henderson,Count Mol,824
Count Mol6,J. Pinckney Henderson,825
J. Pinckney Henderson,Count Mol,826
R. A. Irion,J. Pinckney Henderson,827
R. A. Irion,J. Pinckney Henderson,828
J. Pinckney Henderson,R. A. Irion,829
J. Pinckney Henderson,Count Mol,830
J. Pinckney Henderson,Count Mol,831
Count Mol6,J. Pinckney Henderson,832
J. Pinckney Henderson,Count Mol,833
,October 28 1838,834
J. Pinckney Henderson,R. A. Irion,835
J. Pinckney Henderson,Mirabeau B. Lamar,836
,November 12 1838,837
Count Mol6,J. Pinckney Henderson,838
J. Pinckney Henderson,Count Mol,839
J. Pinckney Henderson,Count Mol,840
,November 23 1838,841
,January 26 1839,842
J. Pinckney Henderson,Mirabeau B. Lamar,843
J. Pinckney Henderson,Barnard E. Bee,844
J. Pinckney Henderson,Barnard E. Bee,845
Abb6 Anduz6,Mirabeau B. Lamar,846
James Webb,Abb6 Anduz6,847
James Webb,Admiral Baudin,848
J. Pinckney Henderson,James Webb,849
J. Pinckney Henderson,James Webb,850
J. Pinckney Henderson,James Webb,851
,June 13 1839,852
Hamilton and Burnley,Mirabeau B. Lamar,853
James Hamilton,David G. Burnet,854
J. Pinckney Henderson,Secretary of State,855
J. Pinckney Henderson,Secretary of State,856
,August 5 1839,857
Lewis Cass,J. Pinckney Henderson,858
,,859
,,860
,,861
,,862
,,863
David G. Burnet,James Hamilton,864
J. Pinckney Henderson,David G. Burnet,865
,October 16 1839,866
Abner S. Lipscomb,James Hamilton,867
A. de Saligny,Abner S. Lipscomb,868
James Hamilton,Mirabeau B. Lamar,869
A. T. Burnley,Mirabeau B. Lamar,870
James Hamilton,Abner S. Lipscomb,871
James Hamilton,M. Guizot,872
James Hamilton,Abner S. Lipscomb,873
James Hamilton,Henry Castro,874
,February 19 1841,875
James S. Mayfield,A. de Saligny,876
A. de Saligny,James S. Mayfield,877
James S. Mayfield,A. de Saligny,878
Henry J. Jewett,James S. Mayfield,879
A. de Saligny,James S. Mayfield,880
James S. Mayfield,A. de Saligny,881
A. de Saligny,James S. Mayfield,882
James S. Mayfield,A. de Saligny,883
A. de Saligny,James S. Mayfield,884
James Hamilton,Abner S. Lipscomb,885
James S. Mayfield,A. de Saligny,886
A. de Saligny,James S. Mayfield,887
A. de Saligny,James S. Mayfield,888
James S. Mayfield,A. de Saligny,889
A. de Saligny,James S. Mayfield,890
James S. Mayfield,Thos. Gales Forster,891
James S. Mayfield,Wm. Henry Daingerfield,892
James S. Mayfield,A. de Saligny,893
James S. Mayfield,George S. Mcintosh,894
James S. Mayfield,Henry J. Jewett,895
James S. Mayfield,George S. Mcintosh,896
Wm. Sevey,James S. Mayfield,897
James H. Starr,Wm. Sevey,898
,,899
Thos. Gales Forster,James S. Mayfield,900
Henry J. Jewett,James S. Mayfield,901
Henry J. Jewett,A. Hutchinson,902
James S. Mayfield,Henry J. Jewett,903
,,904
A. Hutchinson,James S. Mayfield,905
James Hamilton,Mirabeau B. Lamar,906
Nathaniel Amory,James Hamilton,907
Nathaniel Amory,George S. Mcintosh,908
Nathaniel Amory,James Hamilton,909
James Hamilton,James S. Mayfield,910
James Hamilton,M. Guizot,911
James Hamilton,James S. Mayfield,912
,,913
,,914
,,915
,,916
,,917
James Hamilton,M. Guizot,918
,September 8 1841,919
Geo. S. Mcintosh,M. Guizot,920
Geo. S. Mcintosh,M. Guizot,921
M. Guizot,George S. Mcintosh,922
Geo. S. Mcintosh,M. Guizot,923
Samuel A. Roberts,George S. Mcintosh,924
Geo. S. Mcintosh,James S. Mayfield,925
A. de Saligny,Anson Jones,926
Anson Jones,George S. Mcintosh,927
Anson Jones,Ashbel Smith,928
Anson Jones,A. de Saligny,929
Ashbel Smith,Anson Jones,930
Ashbel Smith,Anson Jones,931
,,932
A. de Saligny,Anson Jones,933
Alleye de Cyprey,A. de Saligny,934
A. Gloux,Alleye de Cyprey,935
Declaration of Wyse as,goods shipped on Santa Maria,936
,,937
,May 17 1842,938
A. de Saligny,Sam Houston,939
Memorandum relative,Saligny 's investments in Texan bonds 1368,940
,,941
,,942
A. de Saligny,Anson Jones,943
Sam Houston,A. de Saligny,944
Anson Jones,A. de Saligny,945
A. de Saligny,Anson Jones,946
Ashbel Smith,George S. Mcintosh,947
Ashbel Smith,Theodore Barbey,948
Geo. S. Mcintosh,Ashbel Smith,949
Henry Castro,Ashbel Smith,950
Ashbel Smith,George S. Mcintosh,951
Henry Castro,Ashbel Smith,952
Henry Castro,Ashbel Smith,953
Henry Castro,Ashbel Smith,954
Theodore Barbey,Ashbel Smith,955
Henry Castro,Ashbel Smith,956
Geo. S. Mcintosh,Ashbel Smith,957
Ashbel Smith,Theodore Barbey,958
Sam Houston,Ashbel Smith,959
Ashbel Smith,Anson Jones,960
Ashbel Smith,Anson Jones,961
Ashbel Smith,Anson Jones,962
Ashbel Smith,M. Guizot,963
Ashbel Smith,Anson Jones,964
Ashbel Smith,Anson Jones,965
,,966
,,967
,,968
,,969
,,970
Ashbel Smith,Anson Jones,971
Ashbel Smith,Anson Jones,972
Ashbel Smith,Anson Jones,973
Ashbel Smith,Anson Jones,974
M. Guizot,Ashbel Smith,975
Ashbel Smith,M. Guizot,976
M. Guizot,Ashbel Smith,977
Ashbel Smith,M. Guizot,978
Ashbel Smith,Anson Jones,979
G. W. Terrell,Ashbel Smith,980
Anson Jones,Ashbel Smith,981
Anson Jones,Ashbel Smith,982
Anson Jones,Al. Bourgeois,983
Ashbel Smith,Anson Jones,984
Ashbel Smith,Anson Jones,985
Viscount J. de Cramayel,Anson Jones,986
Ashbel Smith,Anson Jones,987
Viscount J. de Cramayel,Anson Jones,988
Anson Jones,Viscount J. de Cramayel,989
Anson Jones,Viscount J. de Cramayel,990
,Ashbel Smith,991
Viscount J. de Cramayel,Anson Jones,992
Ashbel Smith,Anson Jones,993
Ashbel Smith,Anson Jones,994
Ashbel Smith,M. Guizot,995
M. Guizot,Ashbel Smith,996
Ashbel Smith,M. Guizot,997
Ashbel Smith,M. Guizot,998
M. Guizot,Ashbel Smith,999
1843,,1000
Ashbel Smith,Anson Jones,1001
Ashbel Smith,Anson Jones,1002
M. Guizot,Ashbel Smith,1003
Ashbel Smith,M. Guizot,1004
Henry Castro,Ashbel Smith,1005
Ashbel Smith,Henry Castro,1006
Sam Houston,Viscount J. de Cramayel,1007
Anson Jones,Viscount J. de Cramayel,1008
Viscount J. de Cramayel,Anson Jones,1009
Wm. Henry Daingerfield,Ashbel Smith,1010
Anson Jones,Viscount J. de Cramayel,1011
Ashbel Smith,Anson Jones,1012
M. Guizot,Ashbel Smith,1013
M. Guizot,Ashbel Smith,1014
Wm. Henry Daingerfield,Ashbel Smith,1015
Anson Jones,Ashbel Smith,1016
James Hamilton,Anson Jones,1017
A. Somervell,M. C. Hamilton,1018
Wm. Henry Daingerfield,Anson Jones,1019
Viscount J. de Cramayel,Anson Jones,1020
Wm. Henry Daingerfield,Secretary of State Jones,1021
Ashbel Smith,Anson Jones,1022
Ashbel Smith,M. Guizot,1023
,,1024
,,1025
,,1026
,,1027
,,1028
Ashbel Smith,Anson Jones,1029
Viscount J. de Cramayel,Anson Jones,1030
Sam Houston,Anson Jones,1031
Ashbel Smith,Anson Jones,1032
Al. Bourgeois,Ashbel Smith,1033
Charles de Castell,Al. Bourgeois,1034
Ashbel Smith,Al. Bourgeois,1035
Anson Jones,Viscount J. de Cramayel,1036
Ashbel Smith,Anson Jones,1037
Wm. Henry Daingerfield,Ashbel Smith,1038
Ashbel Smith,Anson Jones,1039
Ashbel Smith,Anson Jones,1040
Ashbel Smith,Anson Jones,1041
Anson Jones,Ashbel Smith,1042
Ashbel Smith,Anson Jones,1043
Ashbel Smith,Anson Jones,1044
Ashbel Smith,Anson Jones,1045
Ashbel Smith,Anson Jones,1046
Ashbel Smith,Anson Jones,1047
M. Guizot,Anson Jones,1048
A. de Saligny,Ashbel Smith,1049
Ashbel Smith,A. de Saligny,1050
G. W. Terrell,Ashbel Smith,1051
Terrell's address,the King of France,1052
Reply of the King of France,Terrell's address,1053
G. W. Terrell,M. Guizot,1054
Ashbel Smith,A. de Saligny,1055
A. de Saligny,Ebenezer Allen,1056
Ebenezer Allen,A. de Saligny,1057
Ashbel Smith,Washington Irving,1058
Ashbel Smith,Anson Jones,1059
Ashbel Smith,General Sancho,1060
Anson Jones,Ashbel Smith,1061
Ashbel Smith,Martinez de La Rosa,1062
Wm. Henry Daingerfield,Lachlin M. Rate,1063
Wm. Henry Daingerfield,Baron Roenne,1064
Wm. Henry Daingerfield,G. W. Terrell,1065
James Hamilton,Abner S. Lipscomb,1066
James Hamilton,Abner S. Lipscomb,1067
,November 3 1841,1068
Anson Jones,Victor Pirson,1069
Wm. Henry Daingerfield,Anson Jones,1070
Wm. Henry Daingerfield,Count d' Alviella,1071
James Hamilton,Abner S. Lipscomb,1072
Abner S. Lipscomb,James Hamilton,1073
James Hamilton,Abner S. Lipscomb,1074
Anson Jones,Wm. Henry Daingerfield,1075
Anson Jones,James Hamilton,1076
Anson Jones,Wm. Henry Daingerfield,1077
,,1078
,,1079
,,1080
,,1081
Wm. Henry Daingerfield,Anson Jones,1082
Henry Castro,Anson Jones,1083
Anson Jones,Wm. Henry Daingerfield,1084
Wm. Henry Daingerfield,Lachlin M. Rate,1085
Wm. Henry Daingerfield,Anson Jones,1086
Anson Jones,Wm. Henry Daingerfield,1087
Wm. Henry Daingerfield,Anson Jones,1088
Wm. Henry Daingerfield,V. Rumpff,1089
Wm. Henry Daingerfield,Ashbel Smith,1090
Wm. Henry Daingerfield,V. Rumpff,1091
Wm. Henry Daingerfield,V. Rumpff,1092
Wm. Henry Daingerfield,Anson Jones,1093
,,1094
Wm. Henry Daingerfield,Anson Jones,1095
Wm. Henry Daingerfield,Anson Jones,1096
Wm. Henry Daingerfield,Senator Gildmeister,1097
R. Sieveking,Wm. Henry Daingerfield,1098
Wm. Henry Daingerfield,G. W. Terrell,1099
Ashbel Smith,Wm. Henry Daingerfield,1100
Wm. Henry Daingerfield,Ebenezer Allen,1101
Wm. Henry Daingerfield,Ashbel Smith,1102
Wm. Henry Daingerfield,R. Sieveking,1103
Wm. Henry Daingerfield,Ebenezer Allen,1104
